주유소명,주소
영진주유소,서울특별시 구로구 구로동로 20(가리봉동)
근린공원주유소,서울특별시 구로구 고척로 199(고척동)
㈜개봉오일,서울특별시 구로구 고척로 115(개봉동)
㈜새서울석유 대원주유소,서울특별시 구로구 개봉로 7(개봉동)
서서울고속주유소,서울특별시 구로구 경인로 150(오류동)
현대오일뱅크㈜직영 신오류주유소 ,서울특별시 구로구 경인로 161(오류동)
처음처럼주유소 ,서울특별시 구로구 오리로 1299(궁동)
시몬주유소,서울특별시 구로구 부일로 871(온수동)
서울석유(주) 풀페이주유소 ,서울특별시 구로구 경인로 41(온수동)
SK에너지㈜ 개봉동주유소,서울특별시 구로구 경인로 290(개봉동)
극동유화㈜ 항동주유소,서울특별시 구로구 서해안로 2154(항동)
에스제이오일㈜ 여의도주유소,서울특별시 영등포구 은행로 64 (여의도동)
KH에너지㈜ 직영 KH여의도주유소,서울특별시 영등포구 국회대로 794 (여의도동)
지에스칼텍스㈜국회대로주유소,서울특별시 영등포구 국회대로 746 (여의도동)
현대오일뱅크㈜직영 영등포현대셀프주유소,서울특별시 영등포구 경인로 822 (영등포동)
성원이앤에스㈜영등포지점,서울특별시 영등포구 국회대로 665 (영등포동7가)
현대오일뱅크㈜직영 여의도현대주유소,서울특별시 영등포구 의사당대로 154 (여의도동)
버드나룻길주유소,서울특별시 영등포구 버드나루로 111 (당산동)
현대오일뱅크㈜직영 대일셀프주유소,서울특별시 영등포구 영등포로 168 (당산동1가)
지에스칼텍스㈜화일주유소,서울특별시 영등포구 도림로 415 (문래동2가)
한일주유소,서울특별시 영등포구 도림로 486 (문래동3가)
㈜지에스이앤알 모드니주유소,서울특별시 영등포구 경인로 789 (문래동3가)
㈜강서오일,서울특별시 영등포구 도신로 151 (도림동)
도림주유소,서울특별시 영등포구 도림로 343 (도림동)
SK에너지㈜양평주유소,서울특별시 영등포구 선유로 195 (양평동3가)
SK에너지㈜ 기린주유소,서울특별시 영등포구 선유로 270 (양평동4가)
㈜한미석유 제2한강주유소,서울특별시 영등포구 선유로 260 (양평동4가)
선유도주유소,서울특별시 영등포구  141 (양평동5가)
㈜지에스이앤알 보라주유소,서울특별시 영등포구 영등포로 399 (신길동)
매봉주유소,서울특별시 영등포구 도신로 248 (신길동)
씨엔에스유통(주)한성주유소,서울특별시 영등포구 여의대방로 227 (신길동)
행촌주유소,서울특별시 영등포구 도신로 130 (신길동)
